Store_ID,subprovince,Title,URL
D791,Binh Dinh,Go Quy Nhon,"https://www.google.com/maps/place/Pizza+Hut+Go!+Quy+Nh%C6%A1n/@13.7542352,109.2078325,17z/data=!4m8!3m7!1s0x316f6dfe8e0190b9:0x13772b8a1944bd7!8m2!3d13.7542352!4d109.2078325!9m1!1b1!16s%2Fg%2F11vbs7jjky?authuser=0&hl=vi&entry=ttu&hl=vi"
D421,Binh Duong,AEON Binh Duong,"https://www.google.com/maps/place/Pizza+Hut+Aeon+B%C3%ACnh+D%C6%B0%C6%A1ng/@10.9331429,106.7118318,15z/data=!4m8!3m7!1s0x3174d7657f899d0f:0x64dd17356aee460f!8m2!3d10.9331429!4d106.7118318!9m1!1b1!16s%2Fg%2F11gf62cn0p?entry=ttu&hl=vi"
D424,Binh Duong,CMT8 Binh Duong,"https://www.google.com/maps/place/Pizza+Hut+CMT8+-+B%C3%ACnh+D%C6%B0%C6%A1ng/@10.9770102,106.6571372,15z/data=!4m8!3m7!1s0x3174d12de8095b05:0xc247306d24a209bc!8m2!3d10.9770102!4d106.6571372!9m1!1b1!16s%2Fg%2F11qpzp60rd?entry=ttu&hl=vi"
D422,Binh Duong,Di An Binh Duong,"https://www.google.com/maps/place/Pizza+Hut+D%C4%A9+An/@10.9047525,106.7683065,15z/data=!4m8!3m7!1s0x3174d985e82b2bb1:0x5230cc1ddd51a8fc!8m2!3d10.9047525!4d106.7683065!9m1!1b1!16s%2Fg%2F11j4xn0l5v?entry=ttu&hl=vi"
D425,Binh Duong,Lai Thieu Binh Duong,"https://www.google.com/maps/place/Pizza+Hut+L%C3%A1i+Thi%C3%AAu/@10.90338,106.7010457,15z/data=!4m8!3m7!1s0x3174d745326d210d:0xfa2c27c175fbce85!8m2!3d10.90338!4d106.7010457!9m1!1b1!16s%2Fg%2F11q_kss_3p?entry=ttu&hl=vi"
D423,Binh Duong,Midori Binh Duong,"https://www.google.com/maps/place/Pizza+Hut+Midori+B%C3%ACnh+D%C6%B0%C6%A1ng/@11.0722031,106.6814649,15z/data=!4m8!3m7!1s0x3174cfb8e94b7905:0xa307e8a8485295b!8m2!3d11.0722031!4d106.6814649!9m1!1b1!16s%2Fg%2F11qn93txbh?entry=ttu&hl=vi"
E401,Binh Duong,PH-BigC BD,"https://www.google.com/maps/place/Pizza+Hut+Big+C+B%C3%ACnh+D%C6%B0%C6%A1ng/@10.9871255,106.6646266,15z/data=!4m8!3m7!1s0x3174d117f99ab54f:0x7c294a99941622ea!8m2!3d10.9871255!4d106.6646266!9m1!1b1!16s%2Fg%2F1pzykct26?entry=ttu&hl=vi"
D961,Binh Thuan,HS-Phan Thiet,"https://www.google.com/maps/place/Pizza+Hut+Lotte/@10.9392251,108.1110278,15z/data=!4m8!3m7!1s0x317683110fe3a67f:0x4a531b2c67a52012!8m2!3d10.9392251!4d108.1110278!9m1!1b1!16s%2Fg%2F11ckxkss2s?entry=ttu&hl=vi"
D580,Ca Mau,Tran Hung Dao CM,"https://www.google.com/maps/place/Pizza+Hut+Tr%E1%BA%A7n+H%C6%B0ng+%C4%90%E1%BA%A1o+(C%C3%A0+Mau)/@9.1779204,105.154826,15z/data=!4m8!3m7!1s0x31a14987476ecf8d:0x2d93ac95a6ab7103!8m2!3d9.1779204!4d105.154826!9m1!1b1!16s%2Fg%2F11gy87nw4w?entry=ttu&hl=vi"
D522,Can Tho,Mau Than - CT,"https://www.google.com/maps/place/Pizza+Hut/@10.0333789,105.7738815,15z/data=!4m8!3m7!1s0x31a089aa194f72f9:0x561b89e266e08aa0!8m2!3d10.0333789!4d105.7738815!9m1!1b1!16s%2Fg%2F11sd5c46zd?entry=ttu&hl=vi"
D521,Can Tho,Nguyen Thai Hoc-CT,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+Th%C3%A1i+H%E1%BB%8Dc/@10.032853,105.785152,15z/data=!4m8!3m7!1s0x31a062a1d3708c65:0xfc5b188a43acbfd!8m2!3d10.032853!4d105.785152!9m1!1b1!16s%2Fg%2F11c6s6gl7c?entry=ttu&hl=vi"
D523,Can Tho,Nguyen Van Cu CT,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+V%C4%83n+C%E1%BB%AB+(C%E1%BA%A7n+Th%C6%A1)/@10.0517339,105.7731143,15z/data=!4m8!3m7!1s0x31a08973d25fda1f:0xd1e648ccc571170d!8m2!3d10.0517339!4d105.7731143!9m1!1b1!16s%2Fg%2F11pzhbnvr2?entry=ttu&hl=vi"
E501,Can Tho,PH-BigC CT,"https://www.google.com/maps/place/Pizza+Hut+Big+C+-+C%E1%BA%A7n+Th%C6%A1/@10.0143208,105.7817211,17z/data=!4m8!3m7!1s0x31a063f87ac20f07:0x6c986c87088be60f!8m2!3d10.0143208!4d105.784296!9m1!1b1!16s%2Fg%2F11v4j36rmc?entry=ttu&hl=vi"
D707,Da Nang,Le Duan-Da Nang,"https://www.google.com/maps/place/Pizza+Hut+L%C3%AA+Du%E1%BA%A9n/@16.0671329,108.207784,15z/data=!4m8!3m7!1s0x314219623d8799af:0x45fbb7fa3d77502d!8m2!3d16.0671329!4d108.207784!9m1!1b1!16s%2Fg%2F11qgbvd1n0?entry=ttu&hl=vi"
D706,Da Nang,Nguyen Van Thoai,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+V%C4%83n+Tho%E1%BA%A1i/@16.0542552,108.2397204,15z/data=!4m8!3m7!1s0x3142176ee2ac16f7:0x11f7bfe8133a7eb2!8m2!3d16.0542552!4d108.2397204!9m1!1b1!16s%2Fg%2F11fmbcmcpc?entry=ttu&hl=vi"
D705,Da Nang,Nui Thanh-Da Nang,"https://www.google.com/maps/place/Pizza+Hut+239+N%C3%BAi+Th%C3%A0nh/@16.0443506,108.2214642,15z/data=!4m8!3m7!1s0x314219d1002c0acf:0xfbd7132a04e701ef!8m2!3d16.0443506!4d108.2214642!9m1!1b1!16s%2Fg%2F11h6v0kbm5?entry=ttu&hl=vi"
D601,Dak Lak,Ly Thuong Kiet-BMT,"https://www.google.com/maps/place/Pizza+Hut+Bu%C3%B4n+Ma+Thu%E1%BB%99t/@12.6800153,108.0433985,15z/data=!4m8!3m7!1s0x31721d7f5d07d409:0x526342688414cdf3!8m2!3d12.6800153!4d108.0433985!9m1!1b1!16s%2Fg%2F11gf9fx8fh?entry=ttu&hl=vi"
D954,Dong Nai,Go Nhon Trach,"https://www.google.com/maps/place/Pizza+Hut+Go+Nh%C6%A1n+Tr%E1%BA%A1ch/@10.7346634,106.933983,15z/data=!4m8!3m7!1s0x317519f5bc12bc69:0x66075071116e13b7!8m2!3d10.7346634!4d106.933983!9m1!1b1!16s%2Fg%2F11ssv078x0?entry=ttu&hl=vi"
D951,Dong Nai,HS-Bien Hoa,"https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Pizza+Hut/@10.9391717,106.8633777,17z/data=!4m8!3m7!1s0x3174de883524415b:0x230ad98f111f855a!8m2!3d10.9391717!4d106.8633777!9m1!1b1!16s%2Fg%2F11c5stql06?authuser=0&hl=vi&entry=ttu&hl=vi"
D952,Dong Nai,Ho Nai Bien Hoa,"https://www.google.com/maps/place/Pizza+Hut+H%E1%BB%91+Nai+Bi%C3%AAn+H%C3%B2a/@10.9721791,106.8734287,14z/data=!4m8!3m7!1s0x3174dd5031e32905:0xf6f812bef0d03c80!8m2!3d10.9721791!4d106.8734287!9m1!1b1!16s%2Fg%2F11gy87x0nv?entry=ttu&hl=vi"
