Store_ID,subprovince,Title,URL,Competitor
17,HN,Pizza 4P's Lotte Center Hanoi,"https://www.google.com/maps/place/Pizza+4P's+Lotte+Center+Hanoi/@21.0318811,105.8097283,17z/data=!4m8!3m7!1s0x3135ab234769acf5:0xb64e26e49920f557!8m2!3d21.0318761!4d105.8123032!9m1!1b1!16s%2Fg%2F11fjy3m6hn?authuser=0&hl=vi&entry=ttu&hl=vi",4P
18,HN,Pizza 4P's Aeon Mall Ha Dong,"https://www.google.com/maps/place/Pizza+4P's+Aeon+Mall+Ha+Dong/@20.98973,105.748211,17z/data=!4m8!3m7!1s0x3134532ccf0f618d:0xa790a2636808559d!8m2!3d20.989725!4d105.7507859!9m1!1b1!16s%2Fg%2F11v4pn_872?authuser=0&hl=vi&entry=ttu&hl=vi",4P
19,Hai Phong,Pizza 4P's Aeon Mall Hải Phòng,"https://www.google.com/maps/place/Pizza+4P's+Aeon+Mall+H%E1%BA%A3i+Ph%C3%B2ng/@20.8309421,106.6810451,17z/data=!4m8!3m7!1s0x314a71aebbc88725:0xd5d63b3a67d36ecd!8m2!3d20.8309371!4d106.68362!9m1!1b1!16s%2Fg%2F11mvth60gd?authuser=0&hl=vi&entry=ttu&hl=vi",4P
20,HN,Pizza 4P's Phan Kế Bính,"https://www.google.com/maps/place/Pizza+4P's+Phan+K%E1%BA%BF+B%C3%ADnh/@21.0341714,105.8099347,17z/data=!4m8!3m7!1s0x3135ab94762e930d:0x4e2723f5f84ce55c!8m2!3d21.0341714!4d105.8125096!9m1!1b1!16s%2Fg%2F11gk8wjj5c?authuser=0&hl=vi&entry=ttu&hl=vi",4P
21,HN,Pizza 4P’s Vincom Long Biên,"https://www.google.com/maps/place/Pizza+4P's+Vincom+Long+Bi%C3%AAn/@21.0505356,105.9137864,17z/data=!4m8!3m7!1s0x3135a9ef43e01aed:0xd33e52a4d95ba178!8m2!3d21.0505356!4d105.9163613!9m1!1b1!16s%2Fg%2F11k3xghwyy?authuser=0&hl=vi&entry=ttu&hl=vi",4P
22,HN,Pizza 4P’s Aeon Mall Long Biên,"https://www.google.com/maps/place/Pizza+4P's+Aeon+Mall+Long+Bien/@21.0267986,105.8980679,17z/data=!4m8!3m7!1s0x3135a976cead5829:0xb322689139e97db6!8m2!3d21.0267986!4d105.9006428!9m1!1b1!16s%2Fg%2F11s5573_0_?authuser=0&hl=vi&entry=ttu&hl=vi",4P
23,HN,Pizza 4P’s Vincom Phạm Ngọc Thạch,"https://www.google.com/maps/place/Pizza+4P%E2%80%99s+Vincom+Pham+Ngoc+Thach/@21.0067491,105.8295133,17z/data=!4m8!3m7!1s0x3135ada00dd63cb5:0x871ec54de8aa94ec!8m2!3d21.0067491!4d105.8320882!9m1!1b1!16s%2Fg%2F11fs0bf4lc?authuser=0&hl=vi&entry=ttu&hl=vi",4P
24,HN,Pizza 4P’s Indochina Plaza,"https://www.google.com/maps/place/Pizza+4P's+Indochina+Plaza/@21.0363254,105.7801368,17z/data=!4m8!3m7!1s0x3135ab1428e0dd7d:0x6598d6902d8c13e8!8m2!3d21.0363254!4d105.7827117!9m1!1b1!16s%2Fg%2F11nnvwwz8y?authuser=0&hl=vi&entry=ttu&hl=vi",4P
25,HN,Pizza 4P’s Landmark 72,"https://www.google.com/maps/place/Pizza+4P%E2%80%99s+Landmark+Hanoi/@21.0172704,105.781091,17z/data=!4m8!3m7!1s0x3135aba6da1451f9:0x54efb9402419dfa!8m2!3d21.0172704!4d105.7836659!9m1!1b1!16s%2Fg%2F11frmnt0vr?authuser=0&hl=vi&entry=ttu&hl=vi",4P
26,HN,Pizza 4P's Lotte Center Hanoi,"https://www.google.com/maps/place/Pizza+4P's+Lotte+Center+Hanoi/@21.0318761,105.8097283,17z/data=!4m8!3m7!1s0x3135ab234769acf5:0xb64e26e49920f557!8m2!3d21.0318761!4d105.8123032!9m1!1b1!16s%2Fg%2F11fjy3m6hn?authuser=0&hl=vi&entry=ttu&hl=vi",4P
